Id,date_new,sum_mets,Calories
6775888955,05-05-16,14400,1841
6962181067,05-05-16,23069,2066
7007744171,05-05-16,27133,2933
7086361926,05-05-16,21025,2386
8053475328,05-05-16,24299,2950
8378563200,05-05-16,25198,3783
8583815059,05-05-16,15926,3266
8792009665,05-05-16,14401,1688
8877689391,05-05-16,25083,3052
1503960366,06-05-16,24272,1896
1624580081,06-05-16,16140,1341
1644430081,06-05-16,24082,3328
1844505072,06-05-16,14442,1351
1927972279,06-05-16,16633,2383
2022484408,06-05-16,24079,2498
2026352035,06-05-16,22409,1736
2320127002,06-05-16,18942,1742
2873212765,06-05-16,21850,1910
3977333714,06-05-16,22618,1590
4020332650,06-05-16,19645,2704
4319703577,06-05-16,22399,2266
4388161847,06-05-16,26260,3425
4445114986,06-05-16,19296,2211
4558609924,06-05-16,18600,1722
4702921684,06-05-16,20392,2859
5553957443,06-05-16,20995,1916
5577150313,06-05-16,20918,2643
6117666160,06-05-16,17676,1838
6290855005,06-05-16,19614,2806
6775888955,06-05-16,19525,2496
6962181067,06-05-16,20630,1850
7007744171,06-05-16,23619,2553
7086361926,06-05-16,25834,2924
8053475328,06-05-16,23550,2859
8378563200,06-05-16,24272,3644
8583815059,06-05-16,19127,2683
8792009665,06-05-16,14400,1688
8877689391,06-05-16,32836,4015
1503960366,07-05-16,23311,1821
1624580081,07-05-16,17738,1474
1644430081,07-05-16,24223,3404
1844505072,07-05-16,14402,1347
1927972279,07-05-16,15565,2229
2022484408,07-05-16,19232,1995
2026352035,07-05-16,19241,1491
2320127002,07-05-16,21442,1972
2873212765,07-05-16,21690,1897
3977333714,07-05-16,22411,1574
4020332650,07-05-16,20671,2975
4319703577,07-05-16,21377,2158
4388161847,07-05-16,30840,4022
4445114986,07-05-16,18533,2123
4558609924,07-05-16,21306,1973
4702921684,07-05-16,26298,3683
5553957443,07-05-16,16376,1494
5577150313,07-05-16,14400,1819
6117666160,07-05-16,23758,2469
6290855005,07-05-16,18264,2613
6775888955,07-05-16,7911,1032
6962181067,07-05-16,21752,1947
7007744171,07-05-16,600,120
7086361926,07-05-16,24207,2739
8053475328,07-05-16,27439,3331
8378563200,07-05-16,18644,2799
8583815059,07-05-16,20041,2810
